Case,InputID,Source,Onset,Duration,MarginMPH,NormalMarginMPH,Violation,GearPass,HeldSamples,FirstReachSeconds,BeforeFaultError,SimulationSeconds
S05,I004,representative,10,0.5,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.433196958333333
S06,I004,representative,10,1,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.476897291666667
S07,I004,representative,15,0.2,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.440265333333333
S08,I004,representative,15,0.5,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.472009458333333
S09,I004,representative,15,1,5.50482868039258,5.50482868039258,0,1,0,18.12,0,0.446962
B00,I005,representative,0,0,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.432899166666667
S01,I005,representative,5,0.2,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.437760791666667
S02,I005,representative,5,0.5,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.450964458333333
S03,I005,representative,5,1,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.452387083333333
S04,I005,representative,10,0.2,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.454041708333333
S05,I005,representative,10,0.5,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.451092416666667
S06,I005,representative,10,1,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.454500625
S07,I005,representative,15,0.2,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.445649583333333
S08,I005,representative,15,0.5,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.458179791666667
S09,I005,representative,15,1,20.7942439762445,20.7942439762445,0,1,0,11.02,0,0.440407375
B00,I006,representative,0,0,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.429977958333333
S01,I006,representative,5,0.2,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.465431625
S02,I006,representative,5,0.5,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.455521666666667
S03,I006,representative,5,1,23.1346086363025,22.8804073641787,0,1,40,11.96,0,0.446043541666667
S04,I006,representative,10,0.2,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.464455333333333
S05,I006,representative,10,0.5,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.457081166666667
S06,I006,representative,10,1,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.500496333333333
S07,I006,representative,15,0.2,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.6300945
S08,I006,representative,15,0.5,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.455706541666667
S09,I006,representative,15,1,22.8804073641787,22.8804073641787,0,1,0,12.06,0,0.457429
B00,I007,corner,0,0,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.451690708333333
S01,I007,corner,5,0.2,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.505065375
S02,I007,corner,5,0.5,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.534995041666667
S03,I007,corner,5,1,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.478546916666667
S04,I007,corner,10,0.2,1.1446578131453,1.1446578131453,0,1,0,19.44,0,0.483089041666667
